,iid
0,100002747
1,100009615
3,100011333
4,100011954
5,100013175
6,100013945
7,100016146
8,100017834
9,100021341
10,100021626
11,100022607
12,100023075
14,100024878
15,100026108
16,100028456
17,100028780
18,100029143
19,100031181
20,100031213
21,100032030
22,100033967
23,100034921
24,100036999
25,100040110
27,100045905
28,100046320
29,100047234
30,100047539
31,100049889
32,100051210
34,100051959
35,100052147
36,100052263
37,100052303
38,100052679
39,100052725
40,100052927
41,100053053
42,100053085
43,100053101
44,100053643
45,100053675
46,100054009
47,100054165
48,100054337
51,100054871
52,100054993
53,100055023
55,100055559
56,100055787
57,100056041
58,100056407
59,100056821
60,100056837
61,100056985
62,100057001
63,100057315
64,100057363
65,100057499
66,100057551
67,100057681
68,100057723
69,100057957
70,100058041
72,100058423
73,100058617
74,100058739
75,100059061
76,100059131
77,100059147
78,100059163
79,100059287
81,100059553
82,100059727
83,100059853
85,100060005
86,100060035
88,100060139
89,100060197
90,100060285
91,100060383
92,100060571
93,100060683
94,100060743
95,100061139
97,100061423
98,100061533
101,100062039
102,100062097
103,100062157
104,100062565
105,100062607
106,100062655
107,100062713
108,100062769
110,100062975
111,100063003
113,100063321
114,100063349
115,100063391
116,100063623
117,100063637
118,100063669
119,100063693
120,100063987
121,100064191
122,100064327
123,100064385
124,100064463
125,100064489
127,100064619
128,100064751
129,100064787
130,100064803
131,100064819
132,100064985
133,100065073
134,100065445
135,100065515
136,100065629
137,100066053
139,100066271
140,100066593
141,100066609
142,100066725
143,100066853
144,100066905
146,100066995
147,100067143
148,100067249
149,100067415
150,100067431
151,100067493
152,100067581
153,100067669
154,100067925
155,100068049
156,100068089
158,100068423
159,100068495
161,100068953
162,100069009
163,100069115
164,100069405
165,100069485
166,100069589
167,100069743
168,100069883
169,100070191
170,100070207
171,100070809
172,100071594
173,100071638
174,100071670
175,100071800
176,100071924
177,100072022
178,100072068
179,100072282
180,100072298
181,100072484
182,100072530
183,100072912
184,100072998
185,100073240
186,100073372
187,100073466
188,100073610
189,100073798
190,100073814
191,100073862
192,100073948
193,100074148
194,100074164
195,100074216
196,100074334
197,100074620
198,100074740
199,100074836
200,100075000
201,100075048
202,100075064
203,100075318
205,100075426
206,100075484
207,100075720
208,100075736
210,100076054
211,100076090
212,100076400
213,100076414
214,100076440
215,100076596
217,100076900
218,100077068
219,100077188
221,100077476
222,100077574
223,100077886
224,100077934
225,100078196
227,100078386
228,100078498
229,100078548
230,100078580
231,100078606
232,100078680
233,100078712
234,100079030
235,100079278
236,100079372
237,100079398
238,100079772
239,100079840
240,100079928
241,100080084
242,100080204
243,100080360
244,100080430
245,100080476
246,100080756
247,100080772
248,100081046
249,100081208
250,100081430
252,100081532
253,100081564
254,100081646
256,100081884
257,100082082
258,100082182
259,100082448
260,100082826
261,100082906
262,100083026
263,100083084
264,100083094
265,100083140
266,100083220
269,100084364
270,100084430
271,100084520
273,100084792
274,100084842
275,100084924
276,100085088
277,100085146
278,100085530
279,100085906
280,100085998
281,100086230
282,100086470
283,100086496
284,100086688
285,100086720
286,100086784
287,100086888
288,100086956
289,100087360
290,100087558
291,100087692
292,100087774
293,100087856
294,100087940
295,100088214
296,100088240
297,100088484
298,100088516
299,100088532
300,100088646
301,100088772
302,100088834
303,100088850
305,100089362
306,100089604
307,100089700
308,100089802
309,100089900
310,100089988
311,100090142
312,100090190
313,100090422
314,100090496
315,100090580
316,100090664
317,100090772
318,100090914
319,100090994
320,100091250
321,100091334
322,100091350
323,100091702
324,100092044
325,100092310
326,100092340
327,100092466
328,100092562
329,100092732
330,100092796
331,100092858
332,100093020
333,100093208
335,100093362
336,100093498
337,100093588
338,100093654
339,100093708
340,100093740
341,100093892
342,100094022
343,100094500
344,100094612
345,100094628
346,100094676
347,100094936
348,100095050
349,100095102
350,100095144
351,100095170
352,100095258
353,100095804
354,100095830
356,100096030
358,100097024
359,100097130
360,100097448
361,100097746
362,100098006
363,100098042
364,100098088
365,100098368
367,100098586
369,100098930
370,100098986
371,100099036
372,100099236
373,100099388
374,100099430
375,100099518
376,100099640
377,100099774
378,100099948
380,100100302
382,100100442
383,100100468
384,100100544
385,100100770
386,100100924
387,100100988
388,100101180
389,100101268
390,100101352
392,100101634
393,100101680
394,100101736
395,100102072
396,100102088
397,100102114
398,100102240
399,100102390
400,100102406
401,100102488
402,100102794
403,100103230
404,100103346
405,100103432
406,100103552
407,100103652
408,100103812
409,100103858
410,100104100
411,100104590
412,100104718
413,100104906
414,100105006
415,100105104
416,100105156
417,100105436
419,100105600
420,100105734
421,100105880
422,100105968
423,100105992
424,100106002
425,100106042
426,100106082
427,100106280
428,100106452
429,100106896
430,100107084
431,100107184
432,100107250
433,100107384
434,100107596
435,100107628
436,100107654
437,100107848
438,100107864
439,100107894
440,100108216
442,100108292
443,100108586
444,100109278
445,100109414
446,100109644
447,100109660
448,100109868
449,100109914
450,100110208
451,100110292
453,100110398
454,100110544
455,100110624
456,100110664
457,100110690
458,100111070
459,100111118
460,100111466
461,100111498
462,100111728
463,100111744
464,100111884
465,100111994
466,100112246
467,100112272
468,100112464
469,100112634
470,100112720
471,100112826
472,100112872
473,100113112
474,100113202
475,100113294
476,100113326
477,100113374
479,100113496
480,100113670
481,100113786
482,100114094
483,100114124
485,100114198
486,100114264
487,100114312
488,100114392
489,100114594
490,100114802
491,100115022
492,100115084
494,100115154
495,100115448
496,100115458
497,100115628
498,100115644
499,100115738
500,100115930
501,100115992
502,100116128
503,100116160
504,100116258
505,100116304
508,100116532
509,100116594
510,100116716
511,100116804
513,100116934
514,100117020
516,100117454
517,100117486
518,100117682
519,100117738
520,100117992
521,100118142
523,100118404
525,100118656
526,100118770
527,100118864
528,100119062
529,100119358
530,100119508
531,100119674
532,100119984
533,100120010
534,100120026
535,100120328
536,100120358
537,100120404
538,100120428
539,100120478
540,100120530
541,100120592
542,100120742
543,100120862
544,100120996
545,100121170
546,100121196
547,100121300
548,100121418
549,100121560
550,100121698
551,100121862
552,100121940
553,100122004
554,100122034
555,100122206
557,100122528
558,100122576
560,100122670
562,100123014
563,100123096
565,100123206
566,100123464
567,100123728
568,100123924
569,100123950
570,100124032
571,100124344
572,100124376
573,100124436
574,100124710
576,100124792
577,100124824
579,100125396
580,100125504
581,100125598
582,100125660
583,100125690
584,100125818
585,100126024
586,100126396
587,100126412
588,100126896
589,100126998
590,100127080
592,100127698
593,100127762
594,100127810
595,100128080
596,100128164
597,100128326
598,100128358
599,100128412
600,100128904
601,100129106
602,100129350
603,100129484
604,100129740
605,100129750
606,100130380
607,100130428
608,100130490
609,100130732
610,100130764
611,100130850
612,100131134
613,100131226
614,100131334
615,100131398
616,100131856
617,100132048
618,100132064
619,100132080
620,100132440
621,100132582
623,100132768
624,100132884
625,100133030
626,100133154
627,100133332
628,100133484
629,100133654
630,100133684
631,100133750
632,100133866
633,100133982
634,100134014
635,100134056
636,100134070
637,100134116
639,100134246
640,100134272
641,100134348
642,100134406
643,100134422
644,100134530
646,100135590
647,100135636
649,100135888
650,100136104
651,100136130
653,100136458
654,100136710
655,100136872
656,100136940
657,100137242
659,100137624
660,100137654
661,100137802
662,100137962
663,100137978
664,100138222
665,100138718
667,100138800
668,100138816
669,100138864
670,100138916
671,100139030
672,100139214
673,100139230
674,100139292
675,100139386
676,100140164
677,100140424
678,100140440
681,100140904
682,100140994
683,100141156
684,100141230
685,100141262
687,100141354
688,100141412
689,100141760
690,100142018
691,100142248
694,100142896
695,100143088
696,100143120
697,100143354
698,100143416
699,100143506
700,100143700
701,100143796
702,100143998
703,100144030
704,100144110
705,100144268
706,100144320
707,100144616
708,100144660
709,100144752
710,100144906
711,100145112
712,100145324
713,100145464
714,100145480
716,100145742
717,100145990
718,100146110
719,100146158
720,100146188
722,100146334
723,100146428
724,100146486
725,100146782
726,100146866
727,100146922
728,100146986
729,100147282
730,100147324
731,100147350
732,100147366
733,100147432
734,100147510
735,100147586
736,100147846
737,100147950
738,100148014
739,100148044
740,100148106
741,100148200
742,100148652
743,100148680
744,100148814
745,100149252
746,100149314
747,100149328
748,100149408
749,100149440
750,100149536
751,100149568
752,100149640
753,100149744
754,100149940
755,100150038
756,100150086
757,100150128
758,100150346
759,100150382
760,100150512
761,100150714
762,100150916
763,100150956
764,100151048
765,100151156
766,100151170
767,100151186
768,100151384
769,100151400
770,100151558
771,100151692
772,100151884
773,100151996
774,100152028
775,100152086
776,100152238
777,100152254
778,100152294
779,100152480
780,100152512
781,100152528
782,100152590
783,100152758
784,100152828
787,100152940
788,100153006
789,100153432
791,100153641
792,100153721
793,100153823
794,100153879
795,100153905
796,100153921
797,100154021
798,100154363
799,100154705
800,100154803
801,100154819
802,100155035
803,100155141
804,100155173
805,100155307
806,100155337
807,100155535
808,100155545
809,100155805
810,100155835
811,100156071
812,100156117
813,100156175
814,100156237
815,100156299
816,100156315
817,100156331
818,100156383
819,100156423
820,100156467
821,100156509
822,100156715
824,100156803
825,100157117
826,100157147
827,100157295
828,100157471
829,100157793
830,100157863
831,100157927
832,100158071
833,100158211
834,100158227
835,100158241
836,100158375
837,100158449
838,100158633
839,100158659
840,100158679
841,100158889
842,100159013
843,100159039
844,100159155
845,100159255
846,100159379
847,100159483
848,100159699
849,100159959
850,100160177
851,100160383
852,100160841
853,100161117
854,100161211
855,100161289
857,100161453
858,100161479
859,100161663
861,100162037
862,100162139
863,100162431
864,100162457
865,100162519
866,100162830
867,100162862
868,100162914
869,100163450
870,100163596
871,100163612
872,100163788
873,100164156
874,100164202
875,100164234
876,100164394
877,100164410
878,100164452
879,100164462
880,100164600
881,100164828
882,100165008
883,100165072
884,100165288
886,100165864
887,100166233
888,100166441
889,100166617
890,100166691
891,100167093
892,100167129
895,100167495
896,100167527
897,100167559
898,100167657
899,100167761
900,100167983
901,100168251
902,100168267
904,100168391
905,100168417
906,100168623
907,100168643
908,100168835
909,100168897
910,100169021
911,100169227
912,100169237
913,100169355
914,100169597
915,100169661
916,100169769
917,100169811
918,100169851
919,100169897
920,100170009
921,100170065
922,100170275
923,100170517
924,100170619
925,100170649
926,100170705
927,100170829
928,100170845
929,100170995
930,100171189
931,100171229
932,100171245
933,100171585
934,100171937
935,100171979
936,100172249
937,100172479
938,100172543
940,100172777
941,100173171
942,100173321
943,100173711
944,100173805
945,100173879
946,100173969
947,100174183
948,100174223
949,100174249
950,100174283
951,100174373
952,100174389
953,100174405
954,100174533
955,100175131
956,100175253
957,100175285
958,100175321
959,100175351
960,100175483
961,100175591
963,100175705
964,100175751
965,100175891
966,100176021
967,100176165
968,100176227
969,100176291
970,100176353
971,100176671
972,100176821
973,100176897
975,100177087
976,100177143
977,100177305
978,100177797
979,100177897
980,100177942
981,100178340
982,100178500
983,100179242
985,100179728
986,100179812
987,100180114
988,100180158
990,100180458
991,100181010
992,100181120
993,100181256
994,100181408
995,100181490
996,100181724
997,100181926
998,100182044
999,100182214
1000,100182284
1001,100182600
1002,100182630
1003,100182702
1004,100182776
1005,100182856
1006,100183114
1007,100183472
1008,100183482
1009,100184080
1010,100184412
1011,100184584
1013,100184760
1014,100185162
1015,100185362
1016,100185546
1017,100186092
1018,100186218
1019,100186306
1020,100186350
1021,100186422
1022,100186454
1023,100186868
1024,100186894
1025,100187018
1026,100187294
1027,100187516
1029,100187750
1031,100188436
1032,100189368
1033,100189462
1034,100189508
1035,100189562
1036,100189604
1037,100189730
1038,100190184
1039,100190194
1040,100190322
1041,100190348
1042,100190374
1043,100190478
1044,100190494
1045,100190630
1046,100190646
1047,100190662
1048,100190802
1049,100190974
1050,100191208
1051,100191546
1052,100191688
1053,100191704
1055,100192128
1056,100192258
1057,100192290
1058,100192450
1059,100192558
1061,100192710
1063,100192992
1064,100193040
1065,100193082
1066,100193216
1067,100193290
1068,100193398
1069,100193476
1070,100193570
1071,100193728
1072,100193768
1073,100194146
1075,100194314
1076,100194372
1077,100194590
1078,100194630
1079,100194734
1080,100194942
1081,100195004
1082,100195232
1083,100195262
1084,100195684
1086,100196068
1087,100196138
1089,100196290
1090,100196744
1091,100196792
1092,100196970
1093,100197402
1094,100197894
1095,100197910
1096,100197940
1097,100198298
1098,100198458
1099,100198522
1100,100198726
1101,100198742
1103,100198850
1104,100198936
1105,100199156
1106,100199310
1107,100199326
1108,100199400
1109,100199416
1110,100199976
1111,100200038
1112,100200070
1113,100200380
1114,100200741
1115,100200913
1116,100200945
1117,100201007
1118,100201033
1119,100201065
1120,100201123
1121,100201201
1122,100201217
1123,100201267
1125,100201541
1126,100201805
1127,100201853
1128,100201899
1129,100202361
1130,100202469
1131,100202501
1132,100202609
1134,100202857
1135,100202967
1136,100203013
1137,100203067
1138,100203389
1139,100203465
1140,100203593
1141,100203651
1142,100203661
1143,100203735
1144,100203973
1145,100204025
1146,100204041
1147,100204251
1148,100204415
1149,100204529
1150,100204679
1151,100204755
1152,100205161
1153,100205305
1154,100205357
1155,100205467
1156,100205499
1157,100205581
1158,100205625
1159,100205855
1160,100205927
1161,100206045
1162,100206201
1163,100207141
1165,100207311
1166,100207557
1167,100207613
1168,100207643
1169,100207807
1170,100207839
1171,100207911
1172,100207943
1173,100208389
1175,100208625
1177,100208831
1178,100209045
1179,100209123
1180,100209487
1181,100209563
1182,100209659
1183,100210101
1184,100210133
1185,100210229
1186,100210309
1188,100210581
1189,100210627
1191,100210845
1192,100210877
1193,100210907
1194,100211045
1195,100211387
1196,100211515
1197,100211821
1198,100211851
1199,100211930
1200,100212036
1201,100212098
1202,100212212
1203,100212384
1204,100212484
1205,100212500
1206,100212956
1207,100212972
1208,100213020
1209,100213108
1211,100213248
1212,100213298
1214,100213470
1215,100213582
1219,100213876
1220,100214228
1221,100214374
1222,100214454
1223,100214498
1224,100214636
1225,100214652
1226,100214708
1227,100215000
1228,100215224
1229,100215240
1230,100215288
1231,100215320
1232,100215516
1233,100215574
1234,100215674
1235,100215690
1236,100215758
1237,100215790
1239,100215950
1240,100215976
1241,100216080
1242,100216220
1244,100216414
1245,100216424
1246,100216440
1247,100216454
1248,100216604
1249,100216646
1250,100216754
1251,100216770
1252,100216906
1253,100217046
1254,100217100
1255,100217140
1256,100217488
1257,100217504
1258,100217598
1259,100217994
1260,100218026
1261,100218102
1262,100218216
1263,100218264
1264,100218310
1265,100218630
1266,100218794
1267,100218928
1268,100218942
1269,100219162
1270,100219436
1271,100219514
1272,100219540
1273,100219568
1274,100219766
1275,100219906
1276,100219932
1277,100220176
1278,100220206
1280,100220560
1281,100220574
1282,100220860
1283,100221064
1284,100221460
1285,100221492
1286,100222062
1287,100222130
1288,100222248
1289,100222332
1290,100222484
1291,100223144
1292,100223252
1293,100223268
1294,100223542
1295,100223708
1296,100223788
1297,100223798
1298,100223814
1299,100224006
1300,100224032
1301,100224094
1302,100224110
1303,100224126
1304,100224142
1305,100224312
1306,100224388
1307,100224634
1308,100224804
1309,100224854
1310,100224870
1311,100224946
1312,100225172
1313,100225348
1314,100225380
1315,100225960
1316,100226332
1317,100226398
1318,100226444
1319,100226740
1320,100226944
1321,100227080
1322,100227250
1323,100227266
1324,100227402
1325,100227546
1326,100227830
1327,100227846
1329,100228144
1330,100228174
1331,100228622
1332,100228762
1333,100228828
1334,100228942
1336,100229382
1337,100229674
1338,100229742
1339,100229838
1341,100230156
1342,100230272
1343,100230354
1344,100230912
1345,100230944
1346,100230986
1347,100231012
1348,100231120
1349,100231282
1350,100231414
1351,100231582
1352,100231612
1353,100231802
1354,100231950
1356,100232088
1357,100232104
1359,100232284
1360,100232300
1361,100232378
1362,100232962
1363,100232986
1364,100233198
1365,100233318
1366,100233332
1367,100233378
1368,100233410
1369,100233590
1370,100233972
1371,100234020
1372,100234052
1374,100234324
1375,100234498
1376,100234578
1377,100234870
1378,100235036
1379,100235192
1380,100235496
1381,100235623
1382,100236033
1383,100236209
1384,100236429
1385,100236477
1386,100236519
1387,100236625
1388,100236905
1389,100237073
1390,100237579
1392,100237961
1393,100238277
1394,100238381
1395,100238429
1396,100238445
1397,100238579
1398,100238665
1399,100238919
1400,100238945
1401,100238977
1402,100239065
1403,100239183
1404,100239613
1405,100239847
1406,100239955
1407,100240117
1408,100240377
1409,100240393
1410,100240629
1411,100240843
1412,100241107
1413,100241123
1414,100241333
1415,100241375
1416,100241421
1417,100241469
1419,100241527
1420,100241553
1421,100241569
1422,100241641
1423,100241657
1424,100242177
1425,100242269
1426,100242301
1427,100242517
1428,100242563
1429,100242653
1431,100242987
1432,100243093
1433,100243123
1434,100243277
1435,100243291
1436,100243381
1437,100243411
1438,100243443
1439,100243529
1440,100243615
1441,100243693
1442,100243911
1443,100243993
1444,100244199
1445,100244307
1446,100244349
1447,100244495
1448,100244669
1450,100244829
1453,100245243
1454,100245333
1455,100245507
1457,100245797
1458,100245941
1459,100245957
1460,100246073
1461,100246331
1462,100246895
1463,100247255
1464,100247417
1465,100247565
1466,100247657
1467,100247893
1468,100247935
1469,100248083
1470,100248221
1471,100248419
1472,100248575
1474,100248715
1475,100248875
1476,100249005
1477,100249031
1478,100249097
1479,100249663
1481,100249765
1482,100249885
1483,100250049
1484,100250413
1485,100250541
1486,100250681
1487,100250825
1488,100250971
1489,100250987
1491,100251131
1492,100251203
1493,100251387
1494,100251447
1495,100251575
1496,100252041
1497,100252073
1498,100252121
1499,100252195
1500,100252211
1503,100252479
1504,100252541
1505,100252661
1506,100252891
1507,100253111
1508,100253353
1509,100253539
1510,100253851
1511,100253867
1512,100254033
1513,100254129
1514,100254225
1515,100254443
1516,100254561
1517,100254693
1518,100254885
1519,100255053
1521,100255437
1523,100256281
1524,100256357
1525,100256403
1526,100256529
1527,100256545
1528,100256757
1530,100257273
1531,100257331
1532,100257665
1533,100257763
1534,100257811
1535,100258015
1536,100258057
1537,100258131
1538,100258197
1539,100258245
1541,100258306
1542,100258522
1543,100258652
1544,100258696
1545,100258712
1546,100258780
1547,100258960
1548,100259172
1549,100259226
1551,100259342
1552,100259548
1553,100259702
1554,100259776
1555,100259914
1556,100259998
1557,100260124
1558,100260446
1559,100260652
1560,100260848
1561,100261028
1562,100261140
1563,100261228
1564,100261274
1566,100261452
1567,100261590
1568,100261616
1571,100261974
1572,100262022
1573,100262038
1574,100262070
1575,100262234
1576,100262500
1577,100262572
1578,100262588
1579,100262752
1580,100262824
1581,100262870
1582,100263080
1583,100263260
1584,100263276
1587,100263406
1588,100263420
1589,100263494
1590,100263552
1591,100263772
1592,100263990
1594,100264120
1595,100264182
1596,100264270
1597,100264654
1598,100264820
1599,100265056
1600,100265202
1601,100265456
1603,100265734
1604,100265816
1606,100266150
1607,100266278
1608,100266288
1609,100266542
1610,100267258
1612,100267842
1613,100268482
1614,100268570
1615,100268992
1616,100269266
1617,100269366
1618,100269458
1619,100269490
1620,100269522
1621,100269718
1622,100269854
1623,100269954
1624,100270032
1625,100270208
1626,100270822
1627,100270838
1628,100270894
1629,100271400
1630,100271498
1631,100271556
1632,100271622
1633,100271670
1634,100271696
1635,100271856
1637,100272126
1638,100272194
1639,100272566
1640,100272622
1641,100272696
1642,100272978
1644,100273180
1645,100273220
1646,100273308
1647,100273546
1648,100273782
1649,100274010
1650,100274240
1651,100274332
1652,100274364
1653,100274722
1654,100274876
1655,100275040
1656,100275102
1657,100275382
1658,100275450
1659,100275534
1660,100275902
1661,100276134
1662,100276552
1664,100276712
1665,100276728
1666,100276744
1667,100276844
1668,100276890
1669,100276964
1670,100277248
1671,100277290
1672,100277332
1673,100277506
1674,100277522
1675,100277694
1676,100277740
1677,100277750
1678,100277776
1681,100278100
1682,100278414
1683,100278526
1684,100278566
1685,100278674
1686,100278824
1687,100278896
1688,100278928
1689,100278970
1690,100279064
1691,100279146
1692,100279162
1693,100279256
1694,100279302
1695,100279344
1696,100279626
1697,100279662
1698,100279734
1699,100279776
1700,100279792
1701,100279806
1702,100279902
1703,100280182
1704,100280330
1705,100280496
1706,100280586
1707,100280728
1708,100280788
1709,100281078
1710,100281094
1711,100281108
1712,100281524
1713,100281702
1714,100281718
1715,100281862
1716,100281942
1717,100282054
1718,100282128
1720,100283094
1721,100283260
1722,100283350
